Country Name,State Name
Azerbaijan,Absheron District
Azerbaijan,Agdam District
Azerbaijan,Agdash District
Azerbaijan,Aghjabadi District
Azerbaijan,Agstafa District
Azerbaijan,Agsu District
Azerbaijan,Astara District
Azerbaijan,Oghuz District
Azerbaijan,Ordubad District
Belize,Orange Walk District
Libya,Al Wahat District
Lithuania,Akmenė District Municipality
Lithuania,Alytus District Municipality
Moldova,Anenii Noi District
Moldova,Ocnița District
Moldova,Orhei District
Nauru,Aiwo District
Nauru,Anabar District
Nauru,Anetan District
Nauru,Anibare District
Sri Lanka,Ampara District
Sri Lanka,Anuradhapura District
Uganda,Abim District
Uganda,Adjumani District
Uganda,Agago District
Uganda,Alebtong District
Uganda,Amolatar District
Uganda,Amudat District
Uganda,Amuria District
Uganda,Amuru District
Uganda,Apac District
Uganda,Arua District
Uganda,Omoro District
Uganda,Otuke District
Uganda,Oyam District
United Kingdom,Armagh City and District Council
United Kingdom,Omagh District Council
